@id,법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,제개정구분명,소관부처코드,소관부처명,법령구분명,공동부령정보,시행일자,자법타법여부,법령상세링크
1692,208815,현행,대학교원 자격기준 등에 관한 규정,대학교원자격규정,002559,20190611,29814,일부개정,1342000,교육부,대통령령,,20190801,,/DRF/lawService.do?OC=username001&target=law&MST=208815&type=HTML&mobileYn=&efYd=20190801
1693,237375,현행,대학도서관진흥법,대학도서관법,012264,20211207,18547,타법개정,1342000,교육부,법률,,20221208,,/DRF/lawService.do?OC=username001&target=law&MST=237375&type=HTML&mobileYn=&efYd=20221208
1694,241221,현행,대학도서관진흥법 시행령,,012359,20220308,32528,타법개정,1342000,교육부,대통령령,,20220308,,/DRF/lawService.do?OC=username001&target=law&MST=241221&type=HTML&mobileYn=&efYd=20220308
1695,240223,현행,대학 등록금에 관한 규칙,대학등록금규칙,010408,20220207,00257,일부개정,1342000,교육부,교육부령,,20220207,,/DRF/lawService.do?OC=username001&target=law&MST=240223&type=HTML&mobileYn=&efYd=20220207
1696,217615,현행,대학 등의 정원 외 위탁학생에 관한 규칙,,011445,20200422,00209,일부개정,1342000,교육부,교육부령,,20200422,,/DRF/lawService.do?OC=username001&target=law&MST=217615&type=HTML&mobileYn=&efYd=20200422
1697,262019,현행,대학설립ㆍ운영 규정,,003349,20240430,34455,일부개정,1342000,교육부,대통령령,,20240430,,/DRF/lawService.do?OC=username001&target=law&MST=262019&type=HTML&mobileYn=&efYd=20240430
1698,261227,현행,대학설립ㆍ운영 규정 시행규칙,,007056,20240321,00324,일부개정,1342000,교육부,교육부령,,20240321,,/DRF/lawService.do?OC=username001&target=law&MST=261227&type=HTML&mobileYn=&efYd=20240321
1699,204332,현행,대학 입학전형 관련 수입ㆍ지출의 항목 및 산정방법에 관한 규칙,,008596,20180830,00161,일부개정,1342000,교육부,교육부령,,20180830,,/DRF/lawService.do?OC=username001&target=law&MST=204332&type=HTML&mobileYn=&efYd=20180830
1700,180744,현행,대한노인회 지원에 관한 법률,대한노인회법,011362,20160203,13991,일부개정,1352000,보건복지부,법률,,20160804,,/DRF/lawService.do?OC=username001&target=law&MST=180744&type=HTML&mobileYn=&efYd=20160804
1701,119420,현행,대한노인회 지원에 관한 법률 시행령,대한노인회법 시행령,011507,20111213,23374,제정,1352000,보건복지부,대통령령,,20111213,,/DRF/lawService.do?OC=username001&target=law&MST=119420&type=HTML&mobileYn=&efYd=20111213
